"Trial","Seed","DurationSec","SpeechFile","SpeechSpeaker","SpeechOffsetSec","NoiseCount","Noise1File","Noise1Fold","Noise1Category","Noise1Source","Noise1OffsetSec","Noise2File","Noise2Fold","Noise2Category","Noise2Source","Noise2OffsetSec","InputSNRdB","SensorNoiseSNRdB"
"11","2026081801011","4.0","LibriSpeech/test-clean/4446/2271/4446-2271-0014.flac","4446","0.427326","1","ESC-50-master/audio/1-46274-A-18.wav","1","toilet_flush","46274","0.417816","","0","","","0.0","-10.0","30.0"
"12","2026081801012","4.0","LibriSpeech/test-clean/5639/40744/5639-40744-0016.flac","5639","0.246692","2","ESC-50-master/audio/2-108760-A-14.wav","2","chirping_birds","108760","0.94407","ESC-50-master/audio/2-106072-A-36.wav","2","vacuum_cleaner","106072","0.663799","-5.0","30.0"
"13","2026081801013","4.0","LibriSpeech/test-clean/2300/131720/2300-131720-0004.flac","2300","1.81837","1","ESC-50-master/audio/1-30709-A-23.wav","1","breathing","30709","0.103953","","0","","","0.0","0.0","30.0"
"14","2026081801014","4.0","LibriSpeech/test-clean/5105/28240/5105-28240-0003.flac","5105","0.787732","2","ESC-50-master/audio/4-199261-A-0.wav","4","dog","199261","0.005948","ESC-50-master/audio/1-46040-A-14.wav","1","chirping_birds","46040","0.524629","5.0","30.0"
"15","2026081801015","4.0","LibriSpeech/test-clean/2300/131720/2300-131720-0036.flac","2300","2.539677","1","ESC-50-master/audio/5-198411-C-20.wav","5","crying_baby","198411","0.20459","","0","","","0.0","10.0","30.0"
"16","2026081801016","4.0","LibriSpeech/test-clean/4446/2273/4446-2273-0008.flac","4446","3.693994","2","ESC-50-master/audio/1-208757-D-2.wav","1","pig","208757","0.0704","ESC-50-master/audio/1-172649-A-40.wav","1","helicopter","172649","0.907216","-10.0","30.0"
"17","2026081801017","4.0","LibriSpeech/test-clean/2094/142345/2094-142345-0043.flac","2094","2.839805","1","ESC-50-master/audio/2-30322-B-12.wav","2","crackling_fire","30322","0.901243","","0","","","0.0","-5.0","30.0"
"18","2026081801018","4.0","LibriSpeech/test-clean/4970/29095/4970-29095-0031.flac","4970","5.777362","2","ESC-50-master/audio/3-51731-A-42.wav","3","siren","51731","0.031974","ESC-50-master/audio/2-104877-A-3.wav","2","cow","104877","0.023314","0.0","30.0"
"19","2026081801019","4.0","LibriSpeech/test-clean/4992/41797/4992-41797-0006.flac","4992","0.226076","1","ESC-50-master/audio/3-137152-A-1.wav","3","rooster","137152","0.038537","","0","","","0.0","5.0","30.0"
"20","2026081801020","4.0","LibriSpeech/test-clean/8555/292519/8555-292519-0009.flac","8555","5.092645","2","ESC-50-master/audio/3-166546-B-34.wav","3","can_opening","166546","0.342548","ESC-50-master/audio/2-152895-A-31.wav","2","mouse_click","152895","0.016343","10.0","30.0"
"21","2026081801021","4.0","LibriSpeech/test-clean/5142/36377/5142-36377-0005.flac","5142","0.399204","1","ESC-50-master/audio/1-27403-A-28.wav","1","snoring","27403","0.137412","","0","","","0.0","-10.0","30.0"
"22","2026081801022","4.0","LibriSpeech/test-clean/5105/28240/5105-28240-0023.flac","5105","9.140141","2","ESC-50-master/audio/2-160128-A-7.wav","2","insects","160128","0.233146","ESC-50-master/audio/3-140199-B-8.wav","3","sheep","140199","0.008909","-5.0","30.0"
"23","2026081801023","4.0","LibriSpeech/test-clean/4446/2271/4446-2271-0016.flac","4446","4.947788","1","ESC-50-master/audio/1-32373-A-35.wav","1","washing_machine","32373","0.806028","","0","","","0.0","0.0","30.0"
"24","2026081801024","4.0","LibriSpeech/test-clean/2094/142345/2094-142345-0027.flac","2094","1.537952","2","ESC-50-master/audio/3-92637-A-18.wav","3","toilet_flush","92637","0.278457","ESC-50-master/audio/2-158746-D-2.wav","2","pig","158746","0.764529","5.0","30.0"
"25","2026081801025","4.0","LibriSpeech/test-clean/8230/279154/8230-279154-0028.flac","8230","6.067192","1","ESC-50-master/audio/2-69131-A-5.wav","2","cat","69131","0.259898","","0","","","0.0","10.0","30.0"
"26","2026081801026","4.0","LibriSpeech/test-clean/908/157963/908-157963-0016.flac","908","0.323968","2","ESC-50-master/audio/3-117504-A-16.wav","3","wind","117504","0.660868","ESC-50-master/audio/4-155650-A-24.wav","4","coughing","155650","0.052942","-10.0","30.0"
"27","2026081801027","4.0","LibriSpeech/test-clean/5683/32865/5683-32865-0011.flac","5683","1.288495","1","ESC-50-master/audio/2-108766-A-9.wav","2","crow","108766","0.211734","","0","","","0.0","-5.0","30.0"
"28","2026081801028","4.0","LibriSpeech/test-clean/7729/102255/7729-102255-0042.flac","7729","1.329456","2","ESC-50-master/audio/2-102568-A-35.wav","2","washing_machine","102568","0.668273","ESC-50-master/audio/2-39945-A-19.wav","2","thunderstorm","39945","0.744724","0.0","30.0"
"29","2026081801029","4.0","LibriSpeech/test-clean/6829/68769/6829-68769-0008.flac","6829","0.601425","1","ESC-50-master/audio/3-130330-A-22.wav","3","clapping","130330","0.033599","","0","","","0.0","5.0","30.0"
"30","2026081801030","4.0","LibriSpeech/test-clean/8230/279154/8230-279154-0029.flac","8230","1.638209","2","ESC-50-master/audio/2-123712-A-33.wav","2","door_wood_creaks","123712","0.067113","ESC-50-master/audio/1-101404-A-34.wav","1","can_opening","101404","0.233619","10.0","30.0"
"31","2026081801031","4.0","LibriSpeech/test-clean/4077/13751/4077-13751-0010.flac","4077","1.270912","1","ESC-50-master/audio/3-155556-A-31.wav","3","mouse_click","155556","0.068604","","0","","","0.0","-10.0","30.0"
"32","2026081801032","4.0","LibriSpeech/test-clean/8555/284447/8555-284447-0001.flac","8555","0.312517","2","ESC-50-master/audio/1-33658-A-26.wav","1","laughing","33658","0.100425","ESC-50-master/audio/1-17970-A-4.wav","1","frog","17970","0.987799","-5.0","30.0"
"33","2026081801033","4.0","LibriSpeech/test-clean/5683/32866/5683-32866-0009.flac","5683","8.34112","1","ESC-50-master/audio/2-18766-B-12.wav","2","crackling_fire","18766","0.822036","","0","","","0.0","0.0","30.0"
"34","2026081801034","4.0","LibriSpeech/test-clean/5639/40744/5639-40744-0026.flac","5639","4.956227","2","ESC-50-master/audio/3-142593-A-38.wav","3","clock_tick","142593","0.997051","ESC-50-master/audio/3-127890-B-9.wav","3","crow","127890","0.191141","5.0","30.0"
"35","2026081801035","4.0","LibriSpeech/test-clean/2094/142345/2094-142345-0033.flac","2094","2.553931","1","ESC-50-master/audio/3-134049-A-1.wav","3","rooster","134049","0.058406","","0","","","0.0","10.0","30.0"
"36","2026081801036","4.0","LibriSpeech/test-clean/5105/28241/5105-28241-0016.flac","5105","2.28038","2","ESC-50-master/audio/5-184871-A-24.wav","5","coughing","184871","0.02323","ESC-50-master/audio/4-198025-A-23.wav","4","breathing","198025","0.104073","-10.0","30.0"
"37","2026081801037","4.0","LibriSpeech/test-clean/1995/1826/1995-1826-0013.flac","1995","3.139203","1","ESC-50-master/audio/3-126358-A-3.wav","3","cow","126358","0.225679","","0","","","0.0","-5.0","30.0"
"38","2026081801038","4.0","LibriSpeech/test-clean/2300/131720/2300-131720-0010.flac","2300","4.358082","2","ESC-50-master/audio/5-256452-A-5.wav","5","cat","256452","0.173164","ESC-50-master/audio/3-153057-A-43.wav","3","car_horn","153057","0.168023","0.0","30.0"
"39","2026081801039","4.0","LibriSpeech/test-clean/908/157963/908-157963-0010.flac","908","1.319816","1","ESC-50-master/audio/3-154781-A-32.wav","3","keyboard_typing","154781","0.03171","","0","","","0.0","5.0","30.0"
"40","2026081801040","4.0","LibriSpeech/test-clean/2300/131720/2300-131720-0022.flac","2300","4.843794","2","ESC-50-master/audio/3-94343-A-25.wav","3","footsteps","94343","0.256488","ESC-50-master/audio/1-63871-A-10.wav","1","rain","63871","0.507246","10.0","30.0"
"41","2026081801041","4.0","LibriSpeech/test-clean/1995/1826/1995-1826-0019.flac","1995","0.557967","1","ESC-50-master/audio/3-96606-A-49.wav","3","hand_saw","96606","0.933942","","0","","","0.0","-10.0","30.0"
"42","2026081801042","4.0","LibriSpeech/test-clean/8455/210777/8455-210777-0033.flac","8455","0.462586","2","ESC-50-master/audio/1-54065-B-45.wav","1","train","54065","0.077378","ESC-50-master/audio/1-85362-A-0.wav","1","dog","85362","0.64","-5.0","30.0"
"43","2026081801043","4.0","LibriSpeech/test-clean/237/134500/237-134500-0018.flac","237","2.70375","1","ESC-50-master/audio/3-123086-A-28.wav","3","snoring","123086","0.10068","","0","","","0.0","0.0","30.0"
"44","2026081801044","4.0","LibriSpeech/test-clean/6829/68769/6829-68769-0005.flac","6829","1.492748","2","ESC-50-master/audio/1-30830-A-24.wav","1","coughing","30830","0.229028","ESC-50-master/audio/2-128465-B-43.wav","2","car_horn","128465","0.174888","5.0","30.0"
"45","2026081801045","4.0","LibriSpeech/test-clean/908/157963/908-157963-0027.flac","908","1.074155","1","ESC-50-master/audio/2-118624-A-30.wav","2","door_wood_knock","118624","0.091773","","0","","","0.0","10.0","30.0"
"46","2026081801046","4.0","LibriSpeech/test-clean/1284/1181/1284-1181-0011.flac","1284","2.09894","2","ESC-50-master/audio/5-117250-A-2.wav","5","pig","117250","0.055478","ESC-50-master/audio/1-88574-A-8.wav","1","sheep","88574","0.887998","-10.0","30.0"
"47","2026081801047","4.0","LibriSpeech/test-clean/6829/68771/6829-68771-0007.flac","6829","1.073937","1","ESC-50-master/audio/5-103421-A-2.wav","5","pig","103421","0.244058","","0","","","0.0","-5.0","30.0"
"48","2026081801048","4.0","LibriSpeech/test-clean/6829/68771/6829-68771-0020.flac","6829","0.225119","2","ESC-50-master/audio/1-103995-A-30.wav","1","door_wood_knock","103995","0.077465","ESC-50-master/audio/1-28808-A-43.wav","1","car_horn","28808","0.096958","0.0","30.0"
"49","2026081801049","4.0","LibriSpeech/test-clean/5142/33396/5142-33396-0019.flac","5142","0.067361","1","ESC-50-master/audio/3-164595-A-15.wav","3","water_drops","164595","0.157753","","0","","","0.0","5.0","30.0"
"50","2026081801050","4.0","LibriSpeech/test-clean/5683/32866/5683-32866-0005.flac","5683","0.561623","2","ESC-50-master/audio/1-19111-A-24.wav","1","coughing","19111","0.094333","ESC-50-master/audio/5-147297-A-27.wav","5","brushing_teeth","147297","0.941765","10.0","30.0"
"51","2026081801051","4.0","LibriSpeech/test-clean/8555/292519/8555-292519-0010.flac","8555","1.412641","1","ESC-50-master/audio/3-119455-A-44.wav","3","engine","119455","0.00322","","0","","","0.0","-10.0","30.0"
"52","2026081801052","4.0","LibriSpeech/test-clean/4970/29093/4970-29093-0014.flac","4970","0.000868","2","ESC-50-master/audio/3-119459-A-26.wav","3","laughing","119459","0.085251","ESC-50-master/audio/1-155858-E-25.wav","1","footsteps","155858","0.747461","-5.0","30.0"
"53","2026081801053","4.0","LibriSpeech/test-clean/5683/32865/5683-32865-0010.flac","5683","1.266666","1","ESC-50-master/audio/3-155579-A-14.wav","3","chirping_birds","155579","0.002589","","0","","","0.0","0.0","30.0"
"54","2026081801054","4.0","LibriSpeech/test-clean/8455/210777/8455-210777-0055.flac","8455","2.824583","2","ESC-50-master/audio/3-129264-A-9.wav","3","crow","129264","0.017953","ESC-50-master/audio/3-162786-A-13.wav","3","crickets","162786","0.250394","5.0","30.0"
"55","2026081801055","4.0","LibriSpeech/test-clean/1995/1837/1995-1837-0025.flac","1995","1.76585","1","ESC-50-master/audio/1-62509-A-45.wav","1","train","62509","0.948607","","0","","","0.0","10.0","30.0"
"56","2026081801056","4.0","LibriSpeech/test-clean/1995/1837/1995-1837-0027.flac","1995","2.11804","2","ESC-50-master/audio/2-78381-A-46.wav","2","church_bells","78381","0.146251","ESC-50-master/audio/1-58277-A-3.wav","1","cow","58277","0.006457","-10.0","30.0"
"57","2026081801057","4.0","LibriSpeech/test-clean/4970/29095/4970-29095-0006.flac","4970","0.120242","1","ESC-50-master/audio/2-117625-A-10.wav","2","rain","117625","0.032953","","0","","","0.0","-5.0","30.0"
"58","2026081801058","4.0","LibriSpeech/test-clean/4077/13751/4077-13751-0003.flac","4077","7.537263","2","ESC-50-master/audio/5-208810-B-11.wav","5","sea_waves","208810","0.127648","ESC-50-master/audio/1-69422-A-3.wav","1","cow","69422","0.931309","0.0","30.0"
"59","2026081801059","4.0","LibriSpeech/test-clean/8463/294825/8463-294825-0003.flac","8463","1.390123","1","ESC-50-master/audio/1-196660-A-8.wav","1","sheep","196660","0.943084","","0","","","0.0","5.0","30.0"
"60","2026081801060","4.0","LibriSpeech/test-clean/5105/28240/5105-28240-0019.flac","5105","1.933406","2","ESC-50-master/audio/2-92978-A-29.wav","2","drinking_sipping","92978","0.14019","ESC-50-master/audio/3-102583-C-49.wav","3","hand_saw","102583","0.385526","10.0","30.0"
"61","2026081801061","4.0","LibriSpeech/test-clean/7729/102255/7729-102255-0028.flac","7729","5.163208","1","ESC-50-master/audio/1-21896-A-35.wav","1","washing_machine","21896","0.886432","","0","","","0.0","-10.0","30.0"
"62","2026081801062","4.0","LibriSpeech/test-clean/908/31957/908-31957-0025.flac","908","1.511084","2","ESC-50-master/audio/1-85123-A-31.wav","1","mouse_click","85123","0.840871","ESC-50-master/audio/4-161303-A-5.wav","4","cat","161303","0.319266","-5.0","30.0"
"63","2026081801063","4.0","LibriSpeech/test-clean/4077/13754/4077-13754-0013.flac","4077","2.360664","1","ESC-50-master/audio/2-93030-A-21.wav","2","sneezing","93030","0.874109","","0","","","0.0","0.0","30.0"
"64","2026081801064","4.0","LibriSpeech/test-clean/1284/1180/1284-1180-0032.flac","1284","1.176136","2","ESC-50-master/audio/4-164859-A-1.wav","4","rooster","164859","0.024197","ESC-50-master/audio/1-18655-A-31.wav","1","mouse_click","18655","0.022478","5.0","30.0"
"65","2026081801065","4.0","LibriSpeech/test-clean/4446/2275/4446-2275-0005.flac","4446","0.085235","1","ESC-50-master/audio/1-36164-B-26.wav","1","laughing","36164","0.14003","","0","","","0.0","10.0","30.0"
"66","2026081801066","4.0","LibriSpeech/test-clean/5639/40744/5639-40744-0027.flac","5639","8.060349","2","ESC-50-master/audio/3-157187-A-12.wav","3","crackling_fire","157187","0.114825","ESC-50-master/audio/3-181278-A-22.wav","3","clapping","181278","0.083809","-10.0","30.0"
"67","2026081801067","4.0","LibriSpeech/test-clean/7729/102255/7729-102255-0041.flac","7729","6.614408","1","ESC-50-master/audio/2-103426-A-3.wav","2","cow","103426","0.057462","","0","","","0.0","-5.0","30.0"
"68","2026081801068","4.0","LibriSpeech/test-clean/237/134500/237-134500-0013.flac","237","0.673548","2","ESC-50-master/audio/3-172881-A-48.wav","3","fireworks","172881","0.08373","ESC-50-master/audio/1-39901-A-11.wav","1","sea_waves","39901","0.492784","0.0","30.0"
"69","2026081801069","4.0","LibriSpeech/test-clean/1284/134647/1284-134647-0003.flac","1284","10.572556","1","ESC-50-master/audio/1-103298-A-9.wav","1","crow","103298","0.251925","","0","","","0.0","5.0","30.0"
"70","2026081801070","4.0","LibriSpeech/test-clean/5142/36377/5142-36377-0010.flac","5142","0.09892","2","ESC-50-master/audio/2-141681-B-36.wav","2","vacuum_cleaner","141681","0.153575","ESC-50-master/audio/2-68595-A-15.wav","2","water_drops","68595","0.993824","10.0","30.0"
"71","2026081801071","4.0","LibriSpeech/test-clean/8463/294828/8463-294828-0006.flac","8463","2.911305","1","ESC-50-master/audio/5-185516-A-27.wav","5","brushing_teeth","185516","0.029406","","0","","","0.0","-10.0","30.0"
"72","2026081801072","4.0","LibriSpeech/test-clean/4992/41797/4992-41797-0019.flac","4992","0.560284","2","ESC-50-master/audio/1-79113-A-5.wav","1","cat","79113","0.172896","ESC-50-master/audio/4-184235-A-28.wav","4","snoring","184235","0.169325","-5.0","30.0"
"73","2026081801073","4.0","LibriSpeech/test-clean/1284/1180/1284-1180-0028.flac","1284","0.54116","1","ESC-50-master/audio/1-68628-A-27.wav","1","brushing_teeth","68628","0.018178","","0","","","0.0","0.0","30.0"
"74","2026081801074","4.0","LibriSpeech/test-clean/4077/13754/4077-13754-0007.flac","4077","4.761944","2","ESC-50-master/audio/3-253084-E-2.wav","3","pig","253084","0.974272","ESC-50-master/audio/1-57795-A-8.wav","1","sheep","57795","0.15374","5.0","30.0"
"75","2026081801075","4.0","LibriSpeech/test-clean/237/134493/237-134493-0005.flac","237","4.783474","1","ESC-50-master/audio/4-185575-C-20.wav","4","crying_baby","185575","0.008228","","0","","","0.0","10.0","30.0"
"76","2026081801076","4.0","LibriSpeech/test-clean/5142/36600/5142-36600-0001.flac","5142","15.596673","2","ESC-50-master/audio/3-151255-A-28.wav","3","snoring","151255","0.233238","ESC-50-master/audio/3-128512-A-47.wav","3","airplane","128512","0.662094","-10.0","30.0"
"77","2026081801077","4.0","LibriSpeech/test-clean/8463/294828/8463-294828-0032.flac","8463","0.342569","1","ESC-50-master/audio/5-253101-B-49.wav","5","hand_saw","253101","0.408967","","0","","","0.0","-5.0","30.0"
"78","2026081801078","4.0","LibriSpeech/test-clean/2094/142345/2094-142345-0005.flac","2094","4.644917","2","ESC-50-master/audio/2-122104-A-0.wav","2","dog","122104","0.209603","ESC-50-master/audio/1-115921-A-22.wav","1","clapping","115921","0.158395","0.0","30.0"
"79","2026081801079","4.0","LibriSpeech/test-clean/4992/23283/4992-23283-0008.flac","4992","0.261622","1","ESC-50-master/audio/2-50667-A-41.wav","2","chainsaw","50667","0.875709","","0","","","0.0","5.0","30.0"
"80","2026081801080","4.0","LibriSpeech/test-clean/8455/210777/8455-210777-0023.flac","8455","0.644871","2","ESC-50-master/audio/5-208030-A-0.wav","5","dog","208030","0.34087","ESC-50-master/audio/5-185579-A-41.wav","5","chainsaw","185579","0.214393","10.0","30.0"
